시도교육청코드,시도교육청명,행정표준코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일자
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251103,1101.00,찰현미밥 <br/>매콤해물볶음우동 (5.6.8.9.12.13.17.18)<br/>소고기미역국 (5.6.16)<br/>떡갈비구이&소스 (1.2.5.6.10.12.13.15.16.18)<br/>오이김치 (9)<br/>하이요구르트 (2),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1377.9 Kcal,탄수화물(g) : 173.7<br/>단백질(g) : 50.3<br/>지방(g) : 50.5<br/>비타민A(R.E) : 93.0<br/>티아민(mg) : 2.2<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 11.2<br/>칼슘(mg) : 263.5<br/>철분(mg) : 6.2,20251110
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251104,1101.00,연잎영양밥 (9)<br/>바지락아욱된장국 (5.6.18)<br/>미나리콩나물무침 (5)<br/>마라닭볶음 (5.6.13.15)<br/>총각김치 (9)<br/>산양우유 (2),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,824.5 Kcal,탄수화물(g) : 43.5<br/>단백질(g) : 94.6<br/>지방(g) : 28.1<br/>비타민A(R.E) : 548.7<br/>티아민(mg) : 0.9<br/>리보플라빈(mg) : 1.1<br/>비타민C(mg) : 24.8<br/>칼슘(mg) : 4658.8<br/>철분(mg) : 19.9,20251111
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251105,1101.00,귀리밥 <br/>돼지순대국 (2.5.6.9.10.13.16)<br/>오이부추무침 (13)<br/>매콤떡볶이&김말이 (1.5.6.13.16)<br/>석박지 (9)<br/>귤 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1264.0 Kcal,탄수화물(g) : 235.7<br/>단백질(g) : 37.3<br/>지방(g) : 19.1<br/>비타민A(R.E) : 260.4<br/>티아민(mg) : 0.9<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 52.3<br/>칼슘(mg) : 299.4<br/>철분(mg) : 13.5,20251112
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251106,1101.00,땡초치킨봉 (1.2.5.6.15)<br/>찰흑미밥 <br/>베트남쌀국수 (5.6.13.15.16.18)<br/>모둠피클 (13)<br/>배추김치 (9)<br/>청사과에이드 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,976.3 Kcal,탄수화물(g) : 157.1<br/>단백질(g) : 33.5<br/>지방(g) : 23.2<br/>비타민A(R.E) : 24.8<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 25.6<br/>칼슘(mg) : 171.7<br/>철분(mg) : 9.5,20251113
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251107,1101.00,율무밥 <br/>부대찌개&만두 (1.2.5.6.9.10.12.13.15.16)<br/>천사채샐러드 (1.2.5.6.8)<br/>치폴레치즈지파이&소스 (1.2.5.6.12.15)<br/>총각김치 (9)<br/>유기농사과쥬스 (13),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,990.0 Kcal,탄수화물(g) : 133.3<br/>단백질(g) : 41.4<br/>지방(g) : 31.7<br/>비타민A(R.E) : 78.5<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 78.1<br/>칼슘(mg) : 132.1<br/>철분(mg) : 3.2,20251114
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251110,1101.00,버섯곤드레밥&양념장 (5.6.13.18)<br/>두부호박된장국 (5.6)<br/>동부묵김무침 (5.6)<br/>통닭다리구이(매콤) (6.12.13.15)<br/>백김치 (9)<br/>레모나젤리 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1079.5 Kcal,탄수화물(g) : 128.4<br/>단백질(g) : 64.1<br/>지방(g) : 34.5<br/>비타민A(R.E) : 192.3<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 1.2<br/>비타민C(mg) : 30.0<br/>칼슘(mg) : 286.8<br/>철분(mg) : 5.5,20251116
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251111,1101.00,찰옥수수밥 <br/>해물칼국수&김가루 (6.17.18)<br/>시금치무침 <br/>배추김치 (9)<br/>통큰더블함박스테이크 (1.2.5.6.12.13.16)<br/>사과 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1172.0 Kcal,탄수화물(g) : 224.6<br/>단백질(g) : 29.9<br/>지방(g) : 14.8<br/>비타민A(R.E) : 244.6<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 28.4<br/>칼슘(mg) : 171.4<br/>철분(mg) : 4.6,20251116
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251112,1101.00,차조밥 <br/>사골떡만두국&김가루 (1.5.6.10.13.16.18)<br/>양배추어묵볶음 (1.5.6.13)<br/>숯불고추장불고기 (5.6.10.12.13)<br/>열무김치 (9)<br/>바나나 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,961.8 Kcal,탄수화물(g) : 130.3<br/>단백질(g) : 59.1<br/>지방(g) : 20.6<br/>비타민A(R.E) : 115.9<br/>티아민(mg) : 1.3<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 11.1<br/>칼슘(mg) : 152.6<br/>철분(mg) : 3.3,20251116
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251114,1101.00,찰보리밥 <br/>쫄면야채무침 (1.5.6.13)<br/>불고기반달피자 (1.2.5.6.10.12.15.16.18)<br/>청국장찌개 (5.6)<br/>총각김치 (9)<br/>감귤쥬스 (13),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1298.1 Kcal,탄수화물(g) : 222.6<br/>단백질(g) : 49.9<br/>지방(g) : 23.2<br/>비타민A(R.E) : 168.1<br/>티아민(mg) : 0.9<br/>리보플라빈(mg) : 0.9<br/>비타민C(mg) : 32.3<br/>칼슘(mg) : 530.3<br/>철분(mg) : 5.2,20251116
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20251117,1028.00,찰흑미밥 <br/>황기엄나무닭백숙 (15)<br/>치커리오이무침 (13)<br/>크런치생선까스&소스 (1.5.6.13)<br/>씨앗호떡 (1.2.5.6)<br/>배추김치 (9),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1043.6 Kcal,탄수화물(g) : 167.2<br/>단백질(g) : 36.4<br/>지방(g) : 23.5<br/>비타민A(R.E) : 91.0<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 12.9<br/>칼슘(mg) : 158.9<br/>철분(mg) : 3.3,20251116
